unique_id,synapse_id,bouton,x_coord,y_coord,pr_total,pr_before,pr_after,unc_sum,brp_sum,unc_norm,brp_norm,ranking,genotype,nmj_id,treatment
37,37,1,485.4656217,2345.368657,0.047393365,0,0.083333333,2566863,15249626,0.571037573,0.597925856,0,'WT','PdBU_20','PdBU'
38,38,1,483.0356159,2389.52344,0.137440758,0.10989011,0.158333333,1111687,10853807,0.24731162,0.425569246,1,'WT','PdBU_20','PdBU'
39,39,1,481.435423,1605.745929,0.004739336,0,0.008333333,2255939,10752931,0.501867817,0.421613978,1,'WT','PdBU_20','PdBU'
40,40,1,495.2873537,1587.71186,0.018957346,0.010989011,0.025,1768094,7330004,0.393339304,0.287403699,1,'WT','PdBU_20','PdBU'
41,41,1,496.1611745,1605.371978,0.052132701,0.054945055,0.05,1377806,10570859,0.306513824,0.414475077,0,'WT','PdBU_20','PdBU'
42,42,1,497.4183403,2338.317421,0.042654028,0.043956044,0.041666667,1806804,13004758,0.40195093,0.509906345,0,'WT','PdBU_20','PdBU'
43,43,1,493.5188374,2366.754965,0.042654028,0,0.075,2037231,10602089,0.453212908,0.415699581,1,'WT','PdBU_20','PdBU'
44,44,1,505.9505472,2300.873092,0.056872038,0.021978022,0.083333333,2162044,14944836,0.480979452,0.58597528,1,'WT','PdBU_20','PdBU'
45,45,1,515.4506169,2359.381866,0.379146919,0.274725275,0.458333333,2533422,17003437,0.563598116,0.666691408,1,'WT','PdBU_20','PdBU'
46,46,1,528.7215905,1485.542923,0.241706161,0.175824176,0.291666667,1796522,14715069,0.399663544,0.576966296,0,'WT','PdBU_20','PdBU'
47,47,1,552.5468174,1529.35372,0.047393365,0.010989011,0.075,2064600,10634598,0.459301557,0.416974234,1,'WT','PdBU_20','PdBU'
48,48,1,553.0126236,1502.576409,0.109004739,0.076923077,0.133333333,2949021,11094006,0.656054411,0.43498726,1,'WT','PdBU_20','PdBU'
49,49,1,552.3442132,2217.794188,0.056872038,0.032967033,0.075,2285584,14540793,0.508462797,0.570133071,1,'WT','PdBU_20','PdBU'
50,50,1,547.0990628,2231.649772,0.056872038,0.054945055,0.058333333,1891845,13859599,0.42086959,0.543423989,0,'WT','PdBU_20','PdBU'
51,51,1,560.4091814,2205.794276,0.056872038,0.054945055,0.058333333,1147274,10139934,0.255228487,0.397578847,0,'WT','PdBU_20','PdBU'
52,52,1,571.847613,1521.139797,0.227488152,0.142857143,0.291666667,2004362,15216073,0.445900701,0.596610269,0,'WT','PdBU_20','PdBU'
53,53,1,575.507371,1530.848343,0.142180095,0.098901099,0.175,2382878,16970947,0.530107322,0.6654175,0,'WT','PdBU_20','PdBU'
54,54,1,588.0420016,2184.951291,0.208530806,0.10989011,0.283333333,3413919,20748571,0.759478017,0.81353517,1,'WT','PdBU_20','PdBU'
55,55,1,587.0488702,1469.169638,0.317535545,0.197802198,0.408333333,2229593,13161467,0.49600675,0.516050782,1,'WT','PdBU_20','PdBU'
56,56,1,592.8625112,2210.821265,0.146919431,0.076923077,0.2,2155246,19705096,0.479467134,0.772621335,1,'WT','PdBU_20','PdBU'
57,57,1,594.2394613,2155.080698,0.052132701,0.010989011,0.083333333,1563153,11988732,0.347747073,0.470068764,1,'WT','PdBU_20','PdBU'
58,58,1,606.6504015,2145.134963,0.033175355,0.032967033,0.033333333,626200,8697032,0.13930768,0.341003793,0,'WT','PdBU_20','PdBU'
59,59,1,603.3321901,1478.25855,0.109004739,0.098901099,0.116666667,1806744,12445884,0.401937583,0.487993335,1,'WT','PdBU_20','PdBU'
60,60,1,608.4380343,1507.162744,0.085308057,0.054945055,0.108333333,1325077,8962808,0.294783459,0.351424661,1,'WT','PdBU_20','PdBU'
61,61,1,615.7243158,2156.049811,0.042654028,0.032967033,0.05,1043109,7640742,0.232055405,0.299587492,0,'WT','PdBU_20','PdBU'
62,62,1,623.4209743,2114.911789,0.014218009,0.010989011,0.016666667,1170054,10837700,0.260296243,0.424937703,0,'WT','PdBU_20','PdBU'
63,63,1,624.1897756,2098.947565,0.018957346,0,0.033333333,813537,10175277,0.180983634,0.398964618,0,'WT','PdBU_20','PdBU'
64,64,1,626.6897329,1502.473719,0.033175355,0.032967033,0.033333333,1550846,12255979,0.345009194,0.480547309,0,'WT','PdBU_20','PdBU'
65,65,1,634.0160654,1495.243732,0.052132701,0.032967033,0.066666667,851107,12519311,0.18934165,0.49087235,0,'WT','PdBU_20','PdBU'
66,66,1,643.6970139,1467.768701,0.260663507,0.186813187,0.316666667,2314034,15392137,0.514791931,0.6035136,1,'WT','PdBU_20','PdBU'
67,67,1,633.3225605,2115.777215,0.033175355,0.021978022,0.041666667,857582,8083346,0.190782112,0.316941647,0,'WT','PdBU_20','PdBU'
68,68,1,649.2469573,2032.48657,0.194312796,0.164835165,0.216666667,2764525,20810494,0.61501048,0.815963122,1,'WT','PdBU_20','PdBU'
69,69,1,655.8395114,2047.811512,0.033175355,0,0.058333333,1314589,9264354,0.292450245,0.363248043,0,'WT','PdBU_20','PdBU'
70,70,1,651.2289024,1500.972131,0.042654028,0.010989011,0.066666667,445884,8364060,0.099193653,0.327948222,1,'WT','PdBU_20','PdBU'
71,71,1,664.9562554,2071.163219,0.104265403,0.098901099,0.108333333,1763985,15216831,0.392425195,0.59663999,1,'WT','PdBU_20','PdBU'
72,72,1,672.6347348,2002.064523,0.037914692,0.010989011,0.058333333,1275603,12825465,0.283777218,0.502876408,1,'WT','PdBU_20','PdBU'
73,73,1,682.8728447,1496.880978,0.232227488,0.186813187,0.266666667,2684595,13644193,0.597228841,0.534978089,0,'WT','PdBU_20','PdBU'
74,74,1,679.6679138,2041.761253,0.042654028,0,0.075,2248107,15396788,0.50012547,0.603695962,0,'WT','PdBU_20','PdBU'
75,75,1,681.4390067,1985.590837,0.194312796,0.076923077,0.283333333,2105531,14441591,0.468407279,0.566243438,1,'WT','PdBU_20','PdBU'
76,76,1,686.3245902,2053.665309,0.023696682,0,0.041666667,1838897,12678235,0.409090505,0.497103635,0,'WT','PdBU_20','PdBU'
77,77,1,677.1396422,2072.504675,0.099526066,0.043956044,0.141666667,2966006,19252217,0.659832982,0.754864305,0,'WT','PdBU_20','PdBU'
78,78,1,699.8577213,2058.006936,0.042654028,0.021978022,0.058333333,1717401,13586431,0.382061878,0.532713287,0,'WT','PdBU_20','PdBU'
79,79,1,688.3198406,2077.037632,0.227488152,0.296703297,0.175,3448369,19226489,0.767141941,0.75385553,0,'WT','PdBU_20','PdBU'
80,80,1,693.9822366,1535.462407,0.71563981,0.549450549,0.841666667,4495086,25504209,1,1,1,'WT','PdBU_20','PdBU'
81,81,1,700.8734865,1459.268167,0.426540284,0.406593407,0.441666667,3258913,20875838,0.724994583,0.818525209,1,'WT','PdBU_20','PdBU'
82,82,1,712.3251577,2022.175455,0.454976303,0.461538462,0.45,2726177,18407760,0.606479387,0.721753809,1,'WT','PdBU_20','PdBU'
83,83,1,722.9612896,1517.522507,0.222748815,0.241758242,0.208333333,2275087,14663944,0.50612758,0.574961725,0,'WT','PdBU_20','PdBU'
84,84,1,725.3234035,1954.726468,0.104265403,0.054945055,0.141666667,2116401,16803936,0.470825475,0.65886913,1,'WT','PdBU_20','PdBU'
85,85,1,732.0611386,1994.02074,0.075829384,0.021978022,0.116666667,2026864,17152049,0.450906612,0.672518367,1,'WT','PdBU_20','PdBU'
86,86,1,732.7796388,1462.495511,0.421800948,0.461538462,0.391666667,940812,13021912,0.209297887,0.51057894,0,'WT','PdBU_20','PdBU'
87,87,1,749.1225596,1934.652581,0.014218009,0,0.025,924869,6181365,0.205751125,0.242366466,1,'WT','PdBU_20','PdBU'
88,88,1,766.8800696,1871.041241,0.014218009,0,0.025,2061809,15039326,0.458680657,0.589680158,0,'WT','PdBU_20','PdBU'
89,89,1,762.6622242,1508.18368,0.109004739,0.065934066,0.141666667,1659746,11145704,0.36923565,0.437014298,1,'WT','PdBU_20','PdBU'
90,90,1,774.41033,1858.819439,0.066350711,0.043956044,0.083333333,2057436,13742300,0.457707817,0.538824788,0,'WT','PdBU_20','PdBU'
91,91,1,776.3245424,1495.275041,0.056872038,0.032967033,0.075,1632259,11276450,0.36312075,0.442140746,1,'WT','PdBU_20','PdBU'
92,92,1,779.0622348,1988.662666,0.028436019,0.010989011,0.041666667,756871,5490511,0.168377424,0.215278623,1,'WT','PdBU_20','PdBU'
93,93,1,785.7653675,1873.197223,0.014218009,0.010989011,0.016666667,2212132,12578193,0.492122286,0.493181067,0,'WT','PdBU_20','PdBU'
94,94,1,792.8071957,1497.756903,0.203791469,0.164835165,0.233333333,1404082,14940413,0.312359319,0.585801857,1,'WT','PdBU_20','PdBU'
95,95,1,791.314538,1885.654062,0.033175355,0.010989011,0.05,2268523,13251543,0.504667319,0.519582591,0,'WT','PdBU_20','PdBU'
96,96,1,785.0335031,1834.660641,0.018957346,0.021978022,0.016666667,1810403,10540259,0.402751583,0.413275275,0,'WT','PdBU_20','PdBU'
97,97,1,793.051016,1824.196233,0.042654028,0.032967033,0.05,1325003,12830232,0.294766997,0.503063318,0,'WT','PdBU_20','PdBU'
98,98,1,794.4636453,1982.961235,0.454976303,0.417582418,0.483333333,1717773,15847041,0.382144635,0.621350029,1,'WT','PdBU_20','PdBU'
99,99,1,798.3276041,1450.795225,0.180094787,0.142857143,0.208333333,2135076,10933269,0.474980012,0.428684889,1,'WT','PdBU_20','PdBU'
100,100,1,800.6959918,1863.870868,0.227488152,0.131868132,0.3,2222642,14551371,0.494460395,0.570547826,1,'WT','PdBU_20','PdBU'
101,101,1,806.801697,1474.158521,0.151658768,0.076923077,0.208333333,1833129,9939546,0.407807326,0.389721791,1,'WT','PdBU_20','PdBU'
102,102,1,812.084653,1818.518615,0.023696682,0.010989011,0.033333333,1266980,8541190,0.281858901,0.33489335,1,'WT','PdBU_20','PdBU'
103,103,1,812.9335115,1879.524973,0.109004739,0.021978022,0.175,1328766,8125219,0.295604133,0.318583454,1,'WT','PdBU_20','PdBU'
104,104,1,818.1980061,1789.789226,0.033175355,0.010989011,0.05,611163,8081612,0.135962471,0.316873658,1,'WT','PdBU_20','PdBU'
105,105,1,819.7965559,1841.509103,0.08056872,0.054945055,0.1,725441,9319735,0.161385344,0.365419488,1,'WT','PdBU_20','PdBU'
106,106,1,837.615113,1724.001361,0.218009479,0.197802198,0.233333333,1351092,15969354,0.30057089,0.626145826,1,'WT','PdBU_20','PdBU'
107,107,1,833.2741705,1417.825006,0.099526066,0.054945055,0.133333333,1881589,9354212,0.418587987,0.366771304,1,'WT','PdBU_20','PdBU'
108,108,1,848.1021346,1761.150589,0.071090047,0.021978022,0.108333333,1923477,9594234,0.427906607,0.376182378,1,'WT','PdBU_20','PdBU'
109,109,1,846.7108493,1742.004565,0.104265403,0.076923077,0.125,2334992,9690326,0.519454355,0.37995007,1,'WT','PdBU_20','PdBU'
110,110,1,848.8715804,1703.818124,0.018957346,0.010989011,0.025,854399,11132908,0.190074005,0.436512577,0,'WT','PdBU_20','PdBU'
111,111,1,855.5007861,1393.7633,0.113744076,0.098901099,0.125,1050883,8392067,0.233784849,0.329046355,1,'WT','PdBU_20','PdBU'
112,112,1,858.5209487,1691.154558,0.137440758,0.098901099,0.166666667,618340,8434395,0.137559103,0.330706002,1,'WT','PdBU_20','PdBU'
113,113,1,858.0956573,1709.768746,0.037914692,0.021978022,0.05,866478,10455888,0.192761162,0.409967155,0,'WT','PdBU_20','PdBU'
114,114,1,873.8783943,1385.416999,0.033175355,0.010989011,0.05,1516164,8556871,0.337293658,0.33550819,1,'WT','PdBU_20','PdBU'
115,115,1,873.2217424,1402.38585,0.004739336,0,0.008333333,1246490,6493866,0.27730059,0.254619385,1,'WT','PdBU_20','PdBU'
116,116,1,884.5731183,1633.527325,0.014218009,0.021978022,0.008333333,1234083,10452857,0.274540465,0.409848312,0,'WT','PdBU_20','PdBU'
117,117,1,891.3551436,1407.304066,0.037914692,0.010989011,0.058333333,1025500,7155425,0.228138016,0.280558593,0,'WT','PdBU_20','PdBU'
118,118,1,896.9486015,1633.449531,0.037914692,0.010989011,0.058333333,1234083,10452857,0.274540465,0.409848312,0,'WT','PdBU_20','PdBU'
119,119,1,900.6769669,1599.935469,0.791469194,0.648351648,0.9,3411393,21357886,0.75891607,0.837425932,1,'WT','PdBU_20','PdBU'
120,120,1,899.8136471,1655.722125,0.028436019,0.021978022,0.033333333,1088351,8183458,0.242120173,0.32086696,1,'WT','PdBU_20','PdBU'
121,121,1,905.3164892,1377.189262,0.004739336,0,0.008333333,1357549,9480171,0.302007348,0.371710058,0,'WT','PdBU_20','PdBU'
122,122,1,919.0373618,1369.198698,0.018957346,0,0.033333333,1357549,9480171,0.302007348,0.371710058,1,'WT','PdBU_20','PdBU'
123,123,1,919.0397216,1636.261929,0.009478673,0,0.016666667,1223792,9811101,0.272251076,0.384685563,1,'WT','PdBU_20','PdBU'
124,124,1,929.928049,1418.136631,0.800947867,0.736263736,0.85,3185211,24019961,0.708598456,0.941803802,1,'WT','PdBU_20','PdBU'
125,125,1,930.8626223,1388.905925,0.033175355,0,0.058333333,721577,8691349,0.160525739,0.340780967,1,'WT','PdBU_20','PdBU'
126,126,1,944.7501808,1364.313014,0.18957346,0.076923077,0.275,2365890,17479654,0.526328084,0.685363502,0,'WT','PdBU_20','PdBU'
127,127,1,947.4142818,1604.698828,0.753554502,0.692307692,0.8,1951947,17522882,0.43424019,0.687058438,1,'WT','PdBU_20','PdBU'
128,128,1,955.0587225,1376.337736,0.08056872,0.021978022,0.125,2110478,17909797,0.469507814,0.702229071,0,'WT','PdBU_20','PdBU'
129,129,1,950.2510172,1535.689279,0.118483412,0.087912088,0.141666667,1638635,11254933,0.364539188,0.441297082,1,'WT','PdBU_20','PdBU'
